"id","libelle","is_default","etape_traitement_id","created_at","updated_at","deleted_at"
4,"En cours",1,6,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
5,"Terminé",0,6,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
6,"Refusé",0,6,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
7,"Préparation pour la signature",1,10,"2023-02-15 12:35:58","2023-02-15 12:35:58",NULL
8,"Récupération par un formaliste",0,10,"2023-02-15 12:36:10","2023-02-15 12:36:10",NULL
9,"Livraison pour signature",0,10,"2023-02-15 12:36:19","2023-02-15 12:36:19",NULL
10,"Verification et validation de la signature",0,10,"2023-02-15 12:36:28","2023-02-15 12:36:28",NULL
11,"En cours",1,11,"2023-02-16 14:25:26","2023-02-16 14:26:31",NULL
12,"Terminé",0,11,"2023-02-16 14:25:32","2023-02-16 14:28:59",NULL
13,"Annulé",0,11,"2023-02-16 14:27:00","2023-02-16 14:27:00",NULL
14,"Documents manquants",0,11,"2023-02-21 14:58:05","2023-02-21 14:58:05",NULL
15,"Préparation des documents (RCCM, IDU)",1,12,"2023-02-21 14:58:05","2023-02-21 14:58:05",NULL
16,"Récupération par un formaliste",0,12,"2023-02-21 14:58:05","2023-02-21 14:58:05",NULL
17,"Livraison des documents",0,12,"2023-02-21 14:58:05","2023-02-21 14:58:05",NULL
18,"Refusé",0,NULL,"2023-03-03 09:40:52","2023-03-09 16:06:12",NULL
19,"En cours",1,13,"2023-03-03 15:18:09","2023-03-03 15:18:09",NULL
20,"Terminé",0,13,"2023-03-03 15:18:17","2023-03-03 15:18:17",NULL
23,"Préparation des documents (DFE)",1,14,"2023-03-03 15:58:47","2023-03-03 15:58:47",NULL
24,"Récupération par un formaliste",0,14,"2023-03-03 15:59:01","2023-03-03 15:59:01",NULL
25,"Livraison des documents",0,14,"2023-03-03 15:59:10","2023-03-03 15:59:10",NULL
26,"En cours",1,26,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
27,"Terminé",0,26,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
28,"Refusé",0,26,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
29,"En cours",1,28,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
30,"Terminé",0,28,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
31,"Refusé",0,28,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
32,"En cours",1,29,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
33,"Terminé",0,29,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
34,"Refusé",0,29,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
35,"En cours",1,21,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
36,"Terminé",0,21,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
37,"Refusé",0,21,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
38,"En cours",1,23,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
39,"Terminé",0,23,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
40,"Refusé",0,23,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
41,"En cours",1,18,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
42,"Terminé",0,18,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
43,"Refusé",0,18,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
44,"En cours",1,40,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
45,"Terminé",0,40,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
46,"Refusé",0,40,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
47,"En cours",1,42,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
48,"Terminé",0,42,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
49,"Refusé",0,42,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
50,"En cours",1,46,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
51,"Terminé",0,46,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
52,"Refusé",0,46,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
53,"En cours",1,48,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
54,"Terminé",0,48,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
55,"Refusé",0,48,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
56,"En cours",1,33,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
57,"Terminé",0,33,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
58,"Refusé",0,33,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
59,"En cours",1,35,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
60,"Terminé",0,35,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
61,"Refusé",0,35,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
62,"En cours",1,36,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
63,"Terminé",0,36,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
64,"Refusé",0,36,"2023-02-10 11:41:41","2023-03-09 16:06:06",NULL
65,"En cours",1,52,"2023-02-10 11:41:28","2023-02-10 11:41:28",NULL
66,"Terminé",0,52,"2023-02-10 11:41:35","2023-02-10 11:41:35",NULL
