id,"libelle","slug","created_at","updated_at","deleted_at"
1,"Create CategorieUser","create-categorieuser","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
2,"View Any CategorieUser","view-any-categorieuser","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
3,"Update CategorieUser","update-categorieuser","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
4,"Delete CategorieUser","delete-categorieuser","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
5,"Create User","create-user","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
6,"View Any User","view-any-user","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
7,"Update User","update-user","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
8,"Delete User","delete-user","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
9,"Create Role","create-role","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
10,"View Any Role","view-any-role","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
11,"Update Role","update-role","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
12,"Delete Role","delete-role","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
13,"Create Permission","create-permission","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
14,"View Any Permission","view-any-permission","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
15,"Update Permission","update-permission","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
16,"Delete Permission","delete-permission","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
17,"Create Dossier","create-dossier","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
18,"View Any Dossier","view-any-dossier","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
19,"Update Dossier","update-dossier","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
20,"Delete Dossier","delete-dossier","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
21,"Create TypeDemande","create-typedemande","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
22,"View Any TypeDemande","view-any-typedemande","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
23,"Update TypeDemande","update-typedemande","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
24,"Delete TypeDemande","delete-typedemande","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
25,"Create Pays","create-pays","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
26,"View Any Pays","view-any-pays","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
27,"Update Pays","update-pays","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
28,"Delete Pays","delete-pays","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
29,"Create EtatDemande","create-etatdemande","2023-01-26 10:33:16","2023-01-26 10:33:16",NULL
